id,cuisine,recipeCategory
54,italyanskaya-kuhnya,salaty
1,russkaya-kuhnya,zavtraki
2,amerikanskaya-kuhnya,sendvichi
3,evropeyskaya-kuhnya,zavtraki
4,meksikanskaya-kuhnya,zavtraki
5,evropeyskaya-kuhnya,salaty
6,italyanskaya-kuhnya,salaty
7,russkaya-kuhnya,zavtraki
8,italyanskaya-kuhnya,zavtraki
9,evropeyskaya-kuhnya,salaty
10,grecheskaya-kuhnya,salaty
11,tayskaya-kuhnya,salaty
12,italyanskaya-kuhnya,rizotto
13,tureckaya-kuhnya,salaty
14,russkaya-kuhnya,zakuski
15,russkaya-kuhnya,osnovnye-blyuda
16,italyanskaya-kuhnya,osnovnye-blyuda
17,azerbaydzhanskaya-kuhnya,vypechka-deserty
18,evropeyskaya-kuhnya,zakuski
19,malaziyskaya-kuhnya,salaty
20,amerikanskaya-kuhnya,salaty
21,ispanskaya-kuhnya,zavtraki
22,evreyskaya-kuhnya,zavtraki
23,italyanskaya-kuhnya,pasta-picca
24,amerikanskaya-kuhnya,sendvichi
25,kitayskaya-kuhnya,osnovnye-blyuda
26,azerbaydzhanskaya-kuhnya,zavtraki
27,meksikanskaya-kuhnya,zakuski
28,russkaya-kuhnya,salaty
29,francuzskaya-kuhnya,zavtraki
30,yaponskaya-kuhnya,osnovnye-blyuda
31,russkaya-kuhnya,supy
32,amerikanskaya-kuhnya,osnovnye-blyuda
33,yaponskaya-kuhnya,osnovnye-blyuda
34,amerikanskaya-kuhnya,vypechka-deserty
35,russkaya-kuhnya,supy
36,kubinskaya-kuhnya,salaty
37,amerikanskaya-kuhnya,sendvichi
38,russkaya-kuhnya,salaty
39,italyanskaya-kuhnya,pasta-picca
40,avtorskaya-kuhnya,sendvichi
41,evropeyskaya-kuhnya,salaty
42,evropeyskaya-kuhnya,napitki
43,italyanskaya-kuhnya,pasta-picca
44,italyanskaya-kuhnya,pasta-picca
45,evropeyskaya-kuhnya,zavtraki
46,italyanskaya-kuhnya,zakuski
47,russkaya-kuhnya,osnovnye-blyuda
48,livanskaya-kuhnya,salaty
49,amerikanskaya-kuhnya,vypechka-deserty
50,soviet-cuisine,supy
51,belorusskaya-kuhnya,osnovnye-blyuda
52,kitayskaya-kuhnya,osnovnye-blyuda
53,meksikanskaya-kuhnya,osnovnye-blyuda
