measureUnit_id,measureUnit_isDimensionless,measureUnit_name,measureUnit_nameFive,measureUnit_nameFractional,measureUnit_nameTwo
21,True,по вкусу,по вкусу,по вкусу,по вкусу
14,False,г,г,г,г
26,False,штука,штук,штуки,штуки
15,False,зубчик,зубчиков,зубчика,зубчика
19,False,мл,мл,мл,мл
24,False,столовая ложка,столовых ложек,столовой ложки,столовые ложки
17,False,кусок,кусков,куска,куска
27,True,щепотка,щепотка,щепотка,щепотка
22,False,пучок,пучков,пучка,пучка
13,False,головка,головок,головки,головки
25,False,чайная ложка,чайных ложек,чайной ложки,чайные ложки
20,True,на кончике ножа,на кончике ножа,на кончике ножа,на кончике ножа
28,False,стебель,стеблей,стебеля,стебля
18,False,л,л,л,л
16,False,кг,кг,кг,кг
23,False,стакан,стаканов,стакана,стакана
12,False,банка,банок,банки,банки
