recipe_id,carbohydrates,fats,kilocalories,proteins
16922,22.7,23.0,341.3,11.1
21975,8.3,2.3,86.9,8.1
17380,11.5,36.9,449.4,17.1
47806,35.5,48.5,627.6,14.9
93826,65.8,15.8,458.5,21.3
27040,8.8,7.6,114.3,3.1
24403,5.8,44.3,454.7,19.7
18506,55.5,60.8,938.3,42.1
17602,13.7,28.8,377.4,15.3
21742,15.3,33.5,500.6,35.2
30893,10.0,33.4,424.5,19.0
22649,45.6,43.5,621.7,13.9
15911,94.0,30.6,714.5,10.4
31055,6.8,15.6,181.6,3.5
15671,28.8,24.2,350.6,5.0
31593,8.1,38.6,511.2,32.6
17276,38.5,20.1,439.3,19.7
50481,58.1,31.9,547.0,7.9
39152,44.9,14.1,525.8,56.8
23847,22.4,54.8,668.9,18.8
19416,13.0,21.0,253.1,4.2
16911,26.6,33.1,461.2,14.6
69608,11.4,29.2,392.6,20.0
55603,49.5,9.2,353.3,17.4
36638,10.3,32.9,439.1,27.1
50260,10.8,28.7,420.8,27.4
92551,41.2,23.8,534.0,37.2
54990,18.0,7.4,188.9,13.3
18154,2.1,54.5,650.0,35.3
124983,156.1,57.2,1323.7,43.8
33818,23.2,13.0,233.6,7.5
35274,16.9,30.4,465.4,31.1
125574,20.0,14.3,382.8,37.0
15230,75.5,11.6,429.2,7.3
34385,29.7,26.1,381.1,9.6
124925,24.6,66.5,806.5,28.6
29868,31.9,21.8,436.3,26.8
41548,16.6,4.8,185.0,19.6
33485,83.8,28.0,740.2,35.6
41324,126.1,12.7,812.2,46.1
91363,10.0,45.8,613.0,52.6
55953,23.2,0.4,140.6,1.5
23565,136.3,56.2,1264.8,45.4
40851,3.6,15.7,237.6,18.9
29846,85.2,29.8,669.3,21.2
15217,64.9,24.4,574.4,25.8
50259,83.6,19.3,569.2,13.5
16879,126.3,21.5,737.6,12.1
126416,37.2,12.9,309.8,13.7
16207,24.3,2.1,129.5,4.7
38558,19.3,8.9,282.6,33.4
17061,41.7,3.6,507.4,72.8
