recipe_id,cookingTime,description,name,openGraphImageUrl,portionsCount,carbohydrates,fats,proteins,calories
16922,7,"Тосканский салат, выдержанный в колористике итальянского флага. Буквально нескольких ложек хватает, чтобы в желудке образовалась приятная тяжесть. Очень полезная штука с точки зрения утра, когда трудно запихнуть в себя крупные дозы биомассы, а есть при этом хочется. Кроме рукколы в этом салате уверенно чувствуют себя листья корн-салата и щавеля, но идеальнее всего ведет себя зеленая черемша. Используя ее, можно, кстати, отказаться от чеснока. Этот салат вообще допускает множество сюжетных отклонений. Например, вместо соли можно использовать соевый соус: в сочетании с фасолью он очень уместен. А для пущего благообразия можно капнуть в миску немного бальзамического уксуса.","Салат из красной фасоли с творожным сыром, красным луком и сезонным салатом",https://s1.eda.ru/StaticContent/Photos/130829212936/130904132758/p_O.jpg,4,22.7,23.0,11.1,341300
21975,15,"Ленивые вареники — те же галушки, только сладкие и выступающие сольно. Готовятся не дольше
любой каши и в отличие от любой каши не вгоняют по утрам своим видом в тоску. Их можно подавать с любимым вареньем, домашним мармеладом, деревенской сметаной или любым сиропом. А можно просто полить растопленным сливочным маслом — все равно будет вкусно.",Завтрак для ленивых,https://s1.eda.ru/StaticContent/Photos/e/92/e92c282529d24be6a8313ed3cd54462f.jpg,3,8.3,2.3,8.1,86900
17380,5,,"Сэндвич с яичницей, беконом и сыром",https://s1.eda.ru/StaticContent/Photos/130829212936/130904171008/p_O.jpg,1,11.5,36.9,17.1,449400
47806,10,,Тост с авокадо и яйцом пашот,https://s1.eda.ru/StaticContent/Photos/170122183544/170208153415/p_O.jpg,1,35.5,48.5,14.9,627600
93826,15,,Мексиканский завтрак,https://s1.eda.ru/StaticContent/Photos/120131083714/170824150809/p_O.jpg,1,65.8,15.8,21.3,458500
27040,15,"Классика советской кухни и неизменный спутник всех столовых. Если добавить ко всем ингредиентам мясо, то получится среднеазиатский специалитет — салат «Ташкент», который подают практически в любом заведении Казахстана и Узбекистана. Рецепт терпит вольности: сметану можно заменить на пахучее масло или сделать салат более жирным, заправив его майонезом. Также можно добавить тертый сыр и грецкие орехи. Если редька очень сочная, лучше посолить ее, откинуть на сито и отжать лишнюю влагу через 10-15 минут. ",Салат из редьки,https://s1.eda.ru/StaticContent/Photos/d/211124174910/p_O.jpg,3,8.8,7.6,3.1,114300
24403,25,,Салат с моцареллой и руколой,https://s1.eda.ru/StaticContent/Photos/120214130615/120214131121/p_O.jpg,3,5.8,44.3,19.7,454700
18506,30,"Главный секрет идеальных сырников — а точнее творожников, — творог нужно протереть через мелкое сито и отжать от влаги. Жирность предпочтительна не больше и не меньше 9%. Тесто должно получиться эластичным, чтобы при надавливании сырник не треснул на сковородке, а сохранил форму. Если все сделать правильно, получатся нежные однородные кругляшки под плотной румяной корочкой. Сырники можно запекать в духовке или готовить на пару. В рецепте не исключаются эксперименты с начинкой — сухофрукты, орехи, свежие фрукты и даже картофель лишними не будут. Приятного аппетита!",Сырники из творога,https://s1.eda.ru/StaticContent/Photos/130924160547/131003203322/p_O.jpg,2,55.5,60.8,42.1,938300
17602,15,"Фриттата с брокколи и сладким перцем — классический итальянский омлет. Главный ингредиент здесь не яйца, а крупно нарезанные овощи, поэтому их должно быть много. Яйца только фиксируют конструкцию. Получается объемное, рельефное и красивое блюдо. Фриттата сначала жарится на сковороде, а потом отправляется в духовку — чтобы застыла серединка, и края при этом не пересушились. Если духовки нет, плотно накройте сковородку крышкой, а огонь убавьте. Существует немало разновидностей фриттаты. В Неаполе в нее добавляют даже макароны.",Фриттата с брокколи и сладким перцем,https://s1.eda.ru/StaticContent/Photos/130829212936/130904175947/p_O.jpg,4,13.7,28.8,15.3,377400
21742,20,"Салат с креветками и кунжутом прост и лаконичен, поскольку эти морепродукты сами по себе не нуждаются в лишнем сопровождении. Майонез в салате можно заменить на натуральный йогурт или оливковое масло, смешанное с лимонным соком. А дополнить блюдо — крупно нарезанным авокадо и тертым пармезаном. Сами креветки можно приготовить тремя путями: отварить, запечь или поджарить. Главное, не делать это долгое время. При каждой из этих обработок вкус креветок будет меняться по-разному, но менее привлекательным от этого не станет.",Салат с креветками и кунжутом,https://s1.eda.ru/StaticContent/Photos/131031145327/140806174529/p_O.jpg,2,15.3,33.5,35.2,500600
30893,10,"Главный ингредиент салата хориатики — фета, традиционный греческий сыр из овечьего или козьего молока. По консистенции он напоминает плотный творог, а во вкусе имеет приятную ненавязчивую кислинку. В отличие от соленой и резкой брынзы, которой в этом салате часто заменяют фету остальные европейцы, он не забивает собой вкус свежих овощей, оливок и оливкового масла.",Настоящий греческий салат,https://s1.eda.ru/StaticContent/Photos/130725133817/190726123035/p_O.jpg,3,10.0,33.4,19.0,424500
