step_id,description,imageUrl,recipe_id
1,"Вскрыть две банки красной фасоли в собственном соку, слить сок и промыть фасоль холодной водой. Желающие использовать не баночную, а самостоятельно сваренную фасоль должны задуматься о приготовлении этого салата еще с вечера. Сначала замочить бобы на ночь, а потом варить их на медленном огне до готовности.",https://s1.eda.ru/StaticContent/Photos/110810174633/170313204814/p_O.png,16922
2,"Готовую фасоль смешать с мелко нарубленным красным луком, зеленью, например, рукколы (которую для удобства поедания нужно предварительно изорвать руками), давленым чесноком, оливковым маслом, лимонным соком и творожным сыром.",https://s1.eda.ru/StaticContent/Photos/110810174633/170313204815/p_O.png,16922
3,"Посолить, поперчить, дать продуктам две минуты притереться друг к другу и подавать к столу вместе с бокалом Nobile di Montepulciano, если вино осталось с вечера.",https://s1.eda.ru/StaticContent/Photos/110810174633/1703132048150/p_O.png,16922
1,"В широкую миску выложить творог, добавить яйцо, сахар и муку и вилкой смешать до однородной консистенции. Если масса получилась слишком липкой, добавить еще муки, но не больше половины столовой ложки.",https://s1.eda.ru/StaticContent/Photos/140219152153/140219202302/p_O.jpg,21975
2,Посыпать стол небольшим количеством муки и выложить творожную массу. Разделить на две равные части и из каждой скатать колбаски одинаковой толщины.,https://s1.eda.ru/StaticContent/Photos/140219152153/1402192023020/p_O.jpg,21975
3,Острым ножом нарезать колбаски на небольшие одинаковые кусочки. При желании можно слегка приплюснуть затем каждый кусочек и придать ему округлую форму.,https://s1.eda.ru/StaticContent/Photos/140219152153/140219202303/p_O.jpg,21975
4,"В небольшой кастрюле довести до кипения воду. Аккуратно один за другим опустить вареники в кипящую воду. Варить, слегка помешивая шумовкой, пока все вареники не всплывут на поверхность, плюс еще минуту.",https://s1.eda.ru/StaticContent/Photos/140219152153/140219202304/p_O.jpg,21975
5,"Готовые вареники выложить из кастрюли на тарелки и полить вареньем, например абрикосовым. Подавать их можно горячими или теплыми.",https://s1.eda.ru/StaticContent/Photos/140219152153/140219202305/p_O.jpg,21975
1,Поджарить тонкие ломтики бекона до золотистой корочки.,,17380
2,"Подогреть хлеб и одну половину сэндвича намазать майонезом (можно приготовить самостоятельно), на вторую положить сыр, ломтики помидоров, бекон и латук.",,17380
3,"Тем временем на сливочном масле поджарить небольшую глазунью — такую, чтобы желток был полуготовым.",,17380
4,"Выложить глазунью на латук, закрыть другой половинкой сэндвича и подавать.",,17380
1,"Очистить авокадо от кожуры, растолочь в миске до консистенции каши.",,47806
2,"Наполнить кастрюлю водой и поставить ее нагреваться. В это же время в отдельную емкость аккуратно разбить одно яйцо. В кастрюлю с водой обязательно добавить столовую ложку уксуса и тщательно перемешать воду. Теперь необходимо создать с помощью ложки или кулинарной лопатки воронку, раскручивая воду. Как только получится воронка, резко перелить желток и белок в кастрюлю. Если вы все сделали правильно, то белок должен будет обернуть яичный желток и вам останется лишь варить яйцо в горячей, но не кипящей воде около 4–5 минут. Аккуратно достать уже готовое яйцо пашот из кастрюли и дать ему немного обсохнуть. Лишние части белка можно удалить с помощью кулинарных ножниц.",,47806
3,"Поджарить  хлеб в тостере и выложить на него растолченное авокадо, сверху положить яйцо пашот.",,47806
4,Можно посолить/поперчить по вкусу.,,47806
1,"Обжарить тортильи на масле в сковороде, положить на бумажное полотенце.",,93826
2,"Прогреть в сковороде фасоль, кукурузу, мелко нарезанный помидор и моцареллу.",,93826
3,"Посыпать чили, готовить до загустения.",,93826
4,Вмешать порубленную зелень.,,93826
5,"На 1 лепешку выложить смесь, накрыть второй сверху и прижать, чтобы сыр скрепил края.",,93826
6,Подавать с ломтиком авокадо и гуакамоле.,,93826
1,Очистить редьку и морковь при помощи овощечистки.,https://s1.eda.ru/StaticContent/Photos/d/211124175024/p_O.jpg,27040
2,Натереть морковь на терке для корейской моркови или на обычной крупной терке.,https://s1.eda.ru/StaticContent/Photos/d/211123232448/p_O.jpg,27040
3,На той же терке натереть редьку.,https://s1.eda.ru/StaticContent/Photos/d/2111232324480/p_O.jpg,27040
4,Смешать редьку с морковью и добавить сметану.,https://s1.eda.ru/StaticContent/Photos/d/2111232324481/p_O.jpg,27040
5,Посолить по вкусу и хорошо перемешать.,https://s1.eda.ru/StaticContent/Photos/d/2111232324482/p_O.jpg,27040
1,Нарезать моцареллу кубиками.,,24403
2,Порезать помидорки черри на половинки.,,24403
3,Добавить рукколу.,,24403
4,Тщательно перемешать.,,24403
5,Добавить бальзамический уксус и оливкое масло.,,24403
6,Тщательно перемешать.,,24403
7,Оставить на 10 минут.,,24403
1,"Положите весь творог в кастрюльку и разомните его вилкой так, чтобы в нем не осталось крупных комков. Разбейте в него яйца, всыпьте сахар и тщательно все перемешайте. Лучше не использовать слишком сухой или слишком влажный творог, иначе сырники будут разваливаться в процессе приготовления.",https://s1.eda.ru/StaticContent/Photos/110811142241/170314165129/p_O.png,18506
2,"Всыпьте в творог 5 столовых ложек (с горкой) муки и тщательно перемешайте. Можно добавить немного больше муки, сырники получатся тогда более плотными. Или муки можно добавить чуть меньше, и тогда сырники будут нежнее. В итоге у вас должна получиться однородная масса, из которой можно будет лепить сырники. ",https://s1.eda.ru/StaticContent/Photos/110811142241/1703141651290/p_O.png,18506
3,Поставьте сковороду на средний огонь и налейте в нее подсолнечное масло.,https://s1.eda.ru/StaticContent/Photos/110811142241/170314165130/p_O.png,18506
4,"Насыпьте на тарелку немного муки. Слепите несколько небольших шариков из получившейся творожной массы и положите их на тарелку. Лучше лепить разом 4–5 шариков — столько, сколько поместится одновременно на сковороду. Затем по очереди обкатывайте творожные шарики в муке, плющите их в небольшие лепешки (они не должны быть слишком тонкие) и выкладывайте на сковороду.",https://s1.eda.ru/StaticContent/Photos/110811142241/1703141651300/p_O.png,18506
